0	1	2	3	4	5	6	7	8	9	10	11	12
1	4	3	0	0	0	0	0	0	0	0	0	0
2	3	4	0	0	0	0	0	0	0	0	0	0
3	0	0	4	3	3	3	1	1	1	1	1	1
4	0	0	3	4	3	3	1	1	1	1	1	1
5	0	0	3	3	4	3	1	1	1	1	1	1
6	0	0	3	3	3	4	1	1	1	1	1	1
7	0	0	1	1	1	1	4	3	2	2	2	2
8	0	0	1	1	1	1	3	4	2	2	2	2
9	0	0	1	1	1	1	2	2	4	3	3	3
10	0	0	1	1	1	1	2	2	3	4	3	3
11	0	0	1	1	1	1	2	2	3	3	4	3
12	0	0	1	1	1	1	2	2	3	3	3	4
