    1.1197    0.6698         0    0.1087    0.2166    0.1087    0.3903    0.0417    0.0417    0.0417    0.3903    0.0417
    0.6698    1.1197         0    0.1087    0.2166    0.1087    0.3903    0.0417    0.0417    0.0417    0.3903    0.0417
         0         0    1.1197         0         0         0         0         0         0         0         0         0
    0.1087    0.1087         0    1.1197    0.1087    0.2166    0.1087    0.0417    0.0417    0.0417    0.1087    0.0417
    0.2166    0.2166         0    0.1087    1.1197    0.1087    0.2166    0.0417    0.0417    0.0417    0.2166    0.0417
    0.1087    0.1087         0    0.2166    0.1087    1.1197    0.1087    0.0417    0.0417    0.0417    0.1087    0.0417
    0.3903    0.3903         0    0.1087    0.2166    0.1087    1.1197    0.0417    0.0417    0.0417    0.6698    0.0417
    0.0417    0.0417         0    0.0417    0.0417    0.0417    0.0417    1.1197    0.2166    0.2166    0.0417    0.1087
    0.0417    0.0417         0    0.0417    0.0417    0.0417    0.0417    0.2166    1.1197    0.3903    0.0417    0.1087
    0.0417    0.0417         0    0.0417    0.0417    0.0417    0.0417    0.2166    0.3903    1.1197    0.0417    0.1087
    0.3903    0.3903         0    0.1087    0.2166    0.1087    0.6698    0.0417    0.0417    0.0417    1.1197    0.0417
    0.0417    0.0417         0    0.0417    0.0417    0.0417    0.0417    0.1087    0.1087    0.1087    0.0417    1.1197
