0	0	0	25.4743	0	3.86751	1.34714	0.419927	0	0	0.772881	1.51533	0	0	0.283845	0.069666	0.353294	0.147424	0	0.100936	0.06254	1.19795	0	1.50628	0.03127	0.053614	0	37.203907	74.8312
0	0	0	1.68674	0	0.182149	0.119843	0.030371	0	0.030371	0.177299	0.135508	0	0	0	0	0	0	0	0	0	0.091114	0	0.151857	0	0	0	2.605252	6.80692
0	0	1.51466	0	0.048267	0	0.093651	0	0	0.173138	0.092333	0.736085	0	0	0.086569	0.075849	0.028986	0	0	0	0	0.081613	0	0.013602	0	0	0	2.944753	11.1782
0	0	7.19427	0	0.013564	0	0.232683	0.040692	0.013564	1.11499	0.289263	1.2116	0.040692	0	0.013564	0.297151	0.203102	0	0.036171	0.049734	0.036171	0.354642	0	0.089271	0	0	0	11.231124	27.9549
0	0	2.75082	0	0.02091	0	0.126241	0	0	0.209514	0.013264	0.14872	0	0	0	0.280923	0.064341	0	0	0	0	0.309746	0	0.065329	0	0	0	3.989808	7.78641
0	0	0.996422	0	0	0	0.138981	0.013615	0	0.13793	0.084473	0.708888	0	0	0.083545	0.196176	0.312815	0	0	0	0	0.167213	0	0.013615	0	0	0.028158	2.881831	9.27941
0	0.638874	0	0	0.055906	0	0.027223	0.008912	0	0	0	0.040835	0	0	0	0	0.027223	0	0	0	0	0.042457	0	0	0.010696	0	0	0.852126	2.2895
0	0.107672	0	0	0.032222	0	0.002685	0	0	0	0	0.040278	0	0	0	0	0.00537	0	0	0	0	0.018796	0	0.00537	0	0	0	0.212393	0.448369
0.760916	0	0	0	0.461758	0	0.149579	0	0	0	0	0.406498	0	0	0	0	1.35605	0	0	0	0	0.149579	0	0	0	0	0	3.28438	21.7912
28.4208	0	0	0	0.753007	0	0.965899	0	0	0	0	0.844042	0	2.83177	0	0	2.2498	0.404179	0	0.56172	0	0.899977	0	0.123319	0	0	0	38.054513	154.131
4.55839	0	0	0	2.03269	0	4.00448	0	0	0.636829	0.720296	2.30485	0	2.02994	0	0	6.85639	1.08387	0	0	0	4.50009	0.820333	0.083467	0.177202	0	0	29.808827	94.7522
1.51379	0	0	0	0.686444	0	34.2319	0	0	0	0	6.34853	0.559355	0	0	0	4.51801	18.2264	1.03831	2.35909	1.03831	16.4108	2.93505	0.553764	0	0	0	90.419753	346.394
