0	5	6	12	25	26	27	1	3	2	4	7	8	9	17	18	23	24	22	19	20	21	10	11	13	14	15	16
5	4	3	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3	4	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2	2	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2	2	3	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1	1	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	1	1	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	7	6	5	5	4	4	4	3	3	2	2	2	2	2	2	2	2	2	1	1	2
3	0	0	0	0	0	0	6	7	5	5	4	4	4	3	3	2	2	2	2	2	2	2	2	2	1	1	2
2	0	0	0	0	0	0	5	5	7	6	4	4	4	3	3	2	2	2	2	2	2	2	2	2	1	1	2
4	0	0	0	0	0	0	5	5	6	7	4	4	4	3	3	2	2	2	2	2	2	2	2	2	1	1	2
7	0	0	0	0	0	0	4	4	4	4	7	6	5	3	3	2	2	2	2	2	2	2	2	2	1	1	2
8	0	0	0	0	0	0	4	4	4	4	6	7	5	3	3	2	2	2	2	2	2	2	2	2	1	1	2
9	0	0	0	0	0	0	4	4	4	4	5	5	6	3	3	2	2	2	2	2	2	2	2	2	1	1	2
17	0	0	0	0	0	0	3	3	3	3	3	3	3	5	4	2	2	2	2	2	2	2	2	2	1	1	2
18	0	0	0	0	0	0	3	3	3	3	3	3	3	4	5	2	2	2	2	2	2	2	2	2	1	1	2
23	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	8	7	6	5	5	5	4	4	4	1	1	3
24	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	7	8	6	5	5	5	4	4	4	1	1	3
22	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	6	6	7	5	5	5	4	4	4	1	1	3
19	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	5	5	5	7	6	6	4	4	4	1	1	3
20	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	5	5	5	6	7	6	4	4	4	1	1	3
21	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	5	5	5	6	6	7	4	4	4	1	1	3
10	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	7	6	5	1	1	3
11	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	6	7	5	1	1	3
13	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	5	5	6	1	1	3
14	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1
15	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1
16	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	1	1	4
