0	1	2	3	4	5	6	7	8	9	10	11	12
1	6	5	0	2	3	2	4	1	1	1	4	1
2	5	6	0	2	3	2	4	1	1	1	4	1
3	0	0	1	0	0	0	0	0	0	0	0	0
4	2	2	0	4	2	3	2	1	1	1	2	1
5	3	3	0	2	4	2	3	1	1	1	3	1
6	2	2	0	3	2	4	2	1	1	1	2	1
7	4	4	0	2	3	2	6	1	1	1	5	1
8	1	1	0	1	1	1	1	4	3	3	1	2
9	1	1	0	1	1	1	1	3	5	4	1	2
10	1	1	0	1	1	1	1	3	4	5	1	2
11	4	4	0	2	3	2	5	1	1	1	6	1
12	1	1	0	1	1	1	1	2	2	2	1	3
